"","x"
"835",0.318
"836",0.074
"837",0.878
"838",0.156
"839",0.71
"840",0.374
"841",0.484
"842",0.34
"843",0
"844",0.488
"845",0.78
"846",0.866
"847",0.218
"848",0.732
"849",0.962
"850",0.84
"851",0.35
"852",0.818
"853",0.358
"854",0.902
"855",0.366
"856",0.912
"857",0
"858",0.25
"859",0.338
"860",0.67
"861",0.258
"862",0.422
"863",0.964
"864",0.87
"865",0.832
"866",0.596
"867",0.262
"868",0.114
"869",0.43
"870",0.924
"871",0.552
"872",0.554
"873",0.99
"874",0.286
"875",0.868
"876",0.322
"877",0.25
"878",0.262
"879",0.156
"880",0.244
"881",0.476
"882",0.752
"883",0.394
"884",0.406
"885",0.876
"886",0.328
"887",0
"888",0.316
"889",0.438
"890",0.942
"891",0.114
"892",0.474
"893",0.31
"894",0.586
"895",0.364
"896",0.116
"897",0.52
"898",0.466
"899",0.078
"900",0.414
"901",0.01
"902",0.764
"903",0.558
"904",0.024
"905",0.018
"906",0.46
"907",0.496
"908",0.26
"909",0.236
"910",0.952
"911",0.114
"912",0.44
"913",0.478
"914",0.844
"915",0.306
"916",0.372
"917",0.86
"918",0.378
"919",0.812
"920",0.45
"921",0.84
"922",0.716
"923",0.498
"924",0.724
"925",0.318
"926",0.042
"927",0.22
"928",0.474
"929",0.376
"930",0.748
"931",0.744
"932",0.938
"933",0.55
"934",0.782
"935",0.968
"936",0.076
"937",0
"938",0.498
"939",0.806
"940",0.388
"941",0.88
"942",0.46
"943",0.908
"944",0.336
"945",0.492
"946",0.366
"947",0.048
"948",0.256
"949",0.982
"950",0.804
"951",0.518
"952",0.234
"953",0.472
"954",0.46
"955",0.85
"956",0.878
"957",0.558
"958",0.034
"959",0
"960",0.758
"961",0.79
"962",0.334
"963",0.272
"964",0.046
"965",0.78
"966",0.316
"967",0.336
"968",0.118
"969",0.82
"970",0.49
"971",0.164
"972",0.554
"973",0.534
"974",0.79
"975",0.172
"976",0.898
"977",0.246
"978",0.492
"979",0.678
"980",0.62
"981",0.886
"982",0.434
"983",0.034
"984",0.888
"985",0.152
"986",0.484
"987",0.828
"988",0.348
"989",0.698
"990",0.7
"991",0.494
"992",0.708
"993",0.158
"994",0.888
"995",0.634
"996",0.116
"997",0.734
"998",0.56
"999",0.332
"1000",0.276
